Source,KLIK,Gebäudewärme,Prozesswärme,Mobile Anwendungen,Total
Laufwasser (Hydro),16498.141206199543,16622.212044256976,6332.436645985552,4874.363103557927,44327.153000000006
Onshore Wind,41501.79016027319,41813.895737605366,15929.519186449974,12261.671915671463,111506.877
Offshore Wind,8759.631915351514,8825.506904492951,3362.1856821829433,2588.0264979725894,23535.351
Solar PV,7254.928715620382,7309.487897442374,2784.639547486956,2143.463097350288,19492.5192579
Biogene Brennstoffe,,,,,
Fernwärme aus Biomasse,3689.5235247130827,3717.269818675686,1416.139774906247,1090.066881704984,9913.0
Biogas Strom,12383.378601267159,12476.50522334167,4753.078512039317,3658.659663351856,33271.621999999996
Biogas Wärme,7231.882961695755,7286.268832720648,2775.7939584680043,2136.654247115592,19430.6
Wärmepumpe Gebäude Strom,8571.57013115335,8636.030840778056,3290.0024392901996,2532.4637887783956,23030.067200000005
Wärmepumpe Industrie Strom,4117.242956256244,4148.20582520519,1580.3101604455733,1216.4362580929935,11062.1952
